content_id,risk_score,reason_code,impressions_prev_30d,avg_position,days_since_last_update,is_declining_label
content_751e38250ff3,1.0,standard_review,582,6.7,20,0
content_ab17bac1b626,1.0,weak_position,9887,37.9,20,1
content_495e95c93181,1.0,standard_review,83,8.3,20,0
content_ea7632e60529,1.0,standard_review,31,11.2,104,0
content_243976103493,1.0,standard_review,5,6.4,20,1
content_b3a1d8ac4964,1.0,standard_review,4,7.4,8,1
content_7a9e31119f1e,1.0,standard_review,59,5.9,104,0
content_3d8f6737ad9d,1.0,standard_review,25,8.6,8,1
content_01607d2cc325,1.0,weak_position,7077,15.7,20,0
content_e7c8ebd61165,1.0,standard_review,5,6.4,20,1
content_b0547c48f8ee,1.0,weak_position,642,20.4,14,1
content_efbf824eed7c,1.0,standard_review,13,9.0,8,0
content_4f3e4a193869,1.0,standard_review,206,3.1,20,1
content_7ef2e2b474ce,1.0,standard_review,9,7.6,8,1
content_fc068dc93477,1.0,weak_position,2093,21.4,20,1
content_4fdcfe417b36,1.0,weak_position,968,21.6,13,1
content_2f5f76271b4c,1.0,standard_review,409,3.7,104,1
content_5ad0732245eb,1.0,weak_position,1027,20.0,13,1
content_0ff563db5034,1.0,standard_review,274,2.2,104,1
content_66f4465b333c,1.0,standard_review,13,9.0,8,1
content_c9d2b4b4b601,1.0,standard_review,7,4.9,104,1
content_565a4bcaa5b7,1.0,standard_review,799,7.5,20,0
content_308261597045,1.0,weak_position,121,12.5,20,1
content_f87ff9f55f70,1.0,weak_position,1041,18.1,14,1
content_fea7f9c67955,1.0,standard_review,633,1.3,20,1
content_069575fac043,1.0,standard_review,37,9.0,8,1
content_69be0182f4d8,1.0,weak_position,9399,34.7,20,1
content_530cf22df65f,1.0,weak_position,994,18.7,14,1
content_16dac4871b21,1.0,weak_position,10682,34.2,20,1
content_899a6bb90034,1.0,standard_review,7,7.6,8,1
content_9d5af08962dc,1.0,standard_review,60,3.8,104,1
content_a68fc2b845ec,1.0,standard_review,9,9.0,8,0
content_865b842c2425,1.0,standard_review,647,3.5,20,1
content_5edd8f8493ed,1.0,weak_position,476,16.8,13,1
content_1d9bd3bc0aa4,1.0,standard_review,10,8.3,8,0
content_54846e719c1c,1.0,weak_position,1880,22.8,20,1
content_f68fc903dd4f,1.0,standard_review,3,7.0,8,1
content_c9765c8fedea,1.0,standard_review,2,7.0,8,1
content_ac41a0819740,1.0,standard_review,382,2.5,20,1
content_a64702530135,1.0,standard_review,174,4.1,104,0
content_8f2559c3bc1b,1.0,standard_review,117,5.7,104,1
content_46506cfa1b19,1.0,weak_position,645,18.0,14,1
content_6bc0c1e6ca59,1.0,weak_position,5971,24.0,20,1
content_57fd6aa32348,1.0,standard_review,145,3.9,104,1
content_b30307ec9de3,1.0,standard_review,94,6.8,20,0
content_303a6d4552dd,1.0,standard_review,61,5.6,104,0
content_145726df78ed,1.0,weak_position,213,19.5,20,1
content_b156fee75fb4,1.0,weak_position,3169,38.1,20,1
content_bb6c9ae71383,1.0,standard_review,403,3.0,20,1
content_a3aee9f9c8ac,1.0,standard_review,1,8.0,8,1
content_d3a9e35e0751,1.0,standard_review,2,2.0,20,0
content_bb0f228c36d2,1.0,standard_review,970,9.6,13,1
content_3da4f5c7b72e,1.0,standard_review,5,6.4,20,1
content_08b1b79ef44c,1.0,standard_review,204,1.2,20,1
content_c93e52c434f8,1.0,standard_review,36,9.1,8,1
content_e9c39bb6170f,1.0,weak_position,1004,20.1,13,0
content_9a38a54c532e,1.0,standard_review,185,3.5,104,1
content_a6b8c4fb779b,1.0,standard_review,18,6.9,88,1
